OBJETID;COD_NDP;DECRETO_LU;DISTRITO;DIRECCION;PLANTA;UNIDADES_VUT;EXPEDIENTE_LU;TIPO;RESOLUCION_LU
494;20138727;Conceder;Distrito de Barajas;CALLE AGUETOL 7;BAJA;2;350/2024/07178;VIVIENDAS DE USO TURÍSTICO;17/04/2024
495;11109468;Conceder;Distrito de Ciudad Lineal;CALLE SAMBARA 24;BAJA;1;350/2024/07288;VIVIENDAS DE USO TURÍSTICO;23/03/2024
496;11011819;Conceder;Distrito de Retiro;CALLE LIRA 1;PRIMERA;3;350/2024/07472;VIVIENDAS DE USO TURÍSTICO;11/04/2024
497;11038555;Conceder;Distrito de Chamberí;CALLE ANDRES MELLADO 20;BAJA;1;350/2024/07702;VIVIENDAS DE USO TURÍSTICO;11/04/2024
498;11065192;Conceder;Distrito de Latina;CALLE CAMARENA 168;BAJA;1;350/2024/07775;VIVIENDAS DE USO TURÍSTICO;10/06/2024
499;11009440;Conceder;Distrito de Arganzuela;CALLE ALICANTE 3;BAJA;1;350/2024/08322;VIVIENDAS DE USO TURÍSTICO;22/04/2024
500;11002731;Conceder;Distrito de Centro;CALLE AVE MARIA 38;BAJA;1;350/2024/08354;;14/06/2024
501;11137606;Conceder;Distrito de San Blas - Canillejas;CALLE NICOLASA GOMEZ 77;BAJA;1;350/2024/08461;VIVIENDAS DE USO TURÍSTICO;17/06/2024
502;11001885;Conceder;Distrito de Centro;CALLE RIBERA DE CURTIDORES 2;BAJA;1;350/2024/09407;VIVIENDAS DE USO TURÍSTICO;10/06/2024
503;11006237;Conceder;Distrito de Centro;CALLE SAN BERNARDO 87;BAJA;1;350/2024/09409;VIVIENDAS DE USO TURÍSTICO;30/04/2024
504;11006537;Conceder;Distrito de Centro;TRAVESÍA CONDE DUQUE 14;BAJA;2;350/2024/09627;VIVIENDAS DE USO TURÍSTICO;28/05/2024
505;11018674;Conceder;Distrito de Salamanca;CALLE ANDRES TAMAYO 23;BAJA;1;350/2024/10028;VIVIENDAS DE USO TURÍSTICO;30/04/2024
506;11001579;Conceder;Distrito de Centro;CALLE DOCTOR CORTEZO 17;CUARTA;3;350/2024/10977;VIVIENDAS DE USO TURÍSTICO;12/06/2024
507;20083544;Conceder;Distrito de Ciudad Lineal;CALLE RAQUEL MELLER 3;BAJA;1;350/2024/11447;;28/05/2024
508;11107884;Conceder;Distrito de Ciudad Lineal;CALLE GOMEZ DE AVELLANEDA 37;BAJA;1;350/2024/12084;VIVIENDAS DE USO TURÍSTICO;26/06/2024
509;20183504;Conceder;Distrito de Vicálvaro;CALLE VILLAJIMENA 18;BAJA;1;350/2024/15997;VIVIENDAS DE USO TURÍSTICO;10/07/2024
510;11017908;Conceder;Distrito de Salamanca;AVENIDA  BRUSELAS 72;BAJA;9;350/2024/18017;VIVIENDAS DE USO TURÍSTICO;06/03/2019
511;11141760;Conceder;Distrito de Barajas;CALLE AUTOGIRO 37;BAJA;1;350/2024/20192;VIVIENDAS DE USO TURÍSTICO;30/07/2024
512;11107185;Conceder;Distrito de Ciudad Lineal;CALLE SAN TELESFORO 11;BAJA;1;350/2024/20800;VIVIENDAS DE USO TURÍSTICO;30/07/2024
513;20060037;Conceder;Distrito de Hortaleza;CALLE ROQUETAS DE MAR 17;BAJA;1;350/2024/21342;VIVIENDAS DE USO TURÍSTICO;30/07/2024
514;11017908;Conceder;Distrito de Salamanca;AVENIDA BRUSELAS 72;;0;500/2019/01019;VIVIENDAS DE USO TURÍSTICO;06/03/2019
515;11002517;Conceder;Distrito de Centro;CALLE CALVARIO  25;BAJA;1;500/2019/01607;VIVIENDAS DE USO TURÍSTICO;12/03/2019
516;11055462;Conceder;Distrito de Moncloa-Aravaca;CALLE SANCHEZ PRECIADO 22;BAJA;1;500/2019/11673;VIVIENDAS DE USO TURÍSTICO;13/11/2019
517;11055462;Conceder;Distrito de Moncloa-Aravaca;CALLE SANCHEZ PRECIADO  22;BAJA;1;500/2019/11680;VIVIENDAS DE USO TURÍSTICO;13/11/2019
518;11070349;Conceder;Distrito de Carabanchel;CALLE VALLE DE ORO 8;BAJA;1;500/2019/12154;VIVIENDAS DE USO TURÍSTICO;28/09/2020
519;11002221;Conceder;Distrito de Centro;CALLE AMPARO 68;BAJA;1;500/2019/13447;VIVIENDAS DE USO TURÍSTICO;12/01/2020
520;11023863;Conceder;Distrito de Chamartín;CALLE GENERAL ZABALA 19;BAJA;2;500/2019/14052;VIVIENDAS DE USO TURÍSTICO;10/03/2020
521;11141740;Conceder;Distrito de Centro;CALLE ALAGON 22;BAJA;1;500/2020/00137;VIVIENDAS DE USO TURÍSTICO;16/02/2020
522;11063887;Conceder;Distrito de Latina;CALLE CARLINA 4;SOTANO;2;500/2020/00690;VIVIENDAS DE USO TURÍSTICO;30/03/2020
523;11033309;Conceder;Distrito de Tetuan;CALLE MOLINA 28;BAJA;1;500/2020/00887;VIVIENDAS DE USO TURÍSTICO;10/03/2020
524;11033310;Conceder;Distrito de Tetuan;CALLE MOLINA 30;BAJA;1;500/2020/00904;VIVIENDAS DE USO TURÍSTICO;25/02/2020
525;11017220;Conceder;Distrito de Salamanca;CALLE ROMA 3;BAJA;1;500/2020/01023;VIVIENDAS DE USO TURÍSTICO;13/04/2020
526;11018700;Conceder;Distrito de Salamanca;CALLE COSLADA 24;BAJA;1;500/2020/01110;VIVIENDAS DE USO TURÍSTICO;22/05/2020
527;11083733;Conceder;Distrito de Usera;AVENIDA MANZANARES 214;BAJA;1;500/2020/01246;VIVIENDAS DE USO TURÍSTICO;29/04/2020
528;11006007;Conceder;Distrito de Centro;CALLE SAN VICENTE FERRER 43;BAJA Y SOTANO;1;500/2020/01345;VIVIENDAS DE USO TURÍSTICO;10/03/2020
529;11029252;Conceder;Distrito de Tetuan;CALLE ORENSE 3;BAJA;1;500/2020/01491;VIVIENDAS DE USO TURÍSTICO;10/03/2020
530;11012428;Conceder;Distrito de Retito;FERNAN GONZALEZ 50;BAJA;1;500/2020/01576;VIVIENDAS DE USO TURÍSTICO;12/03/2020
531;11000848;Conceder;Distrito de Centro;CALLE AGUAS 3;BAJA;1;500/2020/01833;VIVIENDAS DE USO TURÍSTICO;16/04/2020
532;11080710;Conceder;Distrito de Usera;CALLE GRAN AVENIDA 41;BAJA;1;500/2020/01990;VIVIENDAS DE USO TURÍSTICO;29/04/2020
533;11082061;Conceder;Distrito de Usera;CALLE OTEIZA 48;BAJA;1;500/2020/01991;VIVIENDAS DE USO TURÍSTICO;13/04/2020
534;11098320;Conceder;Distrito de Puente de Vallecas;CALLE CALELLA 2;BAJA;1;500/2020/01994;VIVIENDAS DE USO TURÍSTICO;01/04/2020
535;11080762;Conceder;Distrito de Usera;CALLE PRADOLONGO 1;BAJA;1;500/2020/01995;VIVIENDAS DE USO TURÍSTICO;01/04/2020
536;11039131;Conceder;Distrito de Chamberí;CALLE HILARION ESLAVA 60 ;BAJA Y SOTANO;2;500/2020/02181;VIVIENDAS DE USO TURÍSTICO;02/04/2020
537;11029375;Conceder;Distrito de Tetuan;CALLE OVIEDO 4 ;BAJA;1;500/2020/02189;VIVIENDAS DE USO TURÍSTICO;13/04/2020
538;11065405;Conceder;Distrito de Latina;CALLE MAQUEDA 141;BAJA;1;500/2020/02312;;07/04/2020
539;11060232;Conceder;Distrito de Latina;CALLE  JUAN TORNERO  24;BAJA;1;500/2020/02324;VIVIENDAS DE USO TURÍSTICO;18/06/2020
540;20004830;Conceder;Distrito de Centro;CALLE ZURITA 16;BAJA;1;500/2020/02337;VIVIENDAS DE USO TURÍSTICO;13/04/2020
541;20086929;Conceder;Distrito de Latina;CALLE  GOTARRENDURA 6;BAJA;2;500/2020/02511;VIVIENDAS DE USO TURÍSTICO;22/04/2020
542;11029191;Conceder;Distrito de Tetuan;CALLE  ARTISTAS 38;BAJA Y SOTANO;1;500/2020/02605;VIVIENDAS DE USO TURÍSTICO;30/04/2020
543;11002000;Conceder;Distrito de Centro;CALLE OSO 3;BAJA;2;500/2020/02628;VIVIENDAS DE USO TURÍSTICO;29/04/2020
544;20158964;Conceder;Distrito de San Blas - Canillejas;CALLE ETRURIA 7;BAJA Y SOTANO;2;500/2020/02829;VIVIENDAS DE USO TURÍSTICO;08/05/2020
545;11126479;Conceder;Distrio de Villaverde;CALLE POTASA 20;BAJA;2;500/2020/02866;VIVIENDAS DE USO TURÍSTICO;18/05/2020
546;11018962;Conceder;Distrito de Salamanca;CALLE GENERAL ORAA  70;SEGUNDA;1;500/2020/03052;VIVIENDAS DE USO TURÍSTICO;03/07/2020
547;11000898;Conceder;Distrito de Centro;CALLE LUCIENTE  5;BAJA;1;500/2020/03342;VIVIENDAS DE USO TURÍSTICO;09/06/2020
548;11082418;Conceder;Distrito de Usera;CALLE  SANTUARIO  23;BAJA;1;500/2020/03482;VIVIENDAS DE USO TURÍSTICO;10/07/2020
549;11082418;Conceder;Distrito de Usera;CALLE SANTUARIO  23;BAJA;1;500/2020/03483;VIVIENDAS DE USO TURÍSTICO;10/07/2020
550;11003337;Conceder;Distrito de Centro;CALLE CENICERO  6;BAJA;1;500/2020/03675;VIVIENDAS DE USO TURÍSTICO;23/06/2020
551;11103531;Conceder;Distrito de Ciudad Lineal;CALLE  SAN LAMBERTO  1;BAJA;1;500/2020/03715;VIVIENDAS DE USO TURÍSTICO;30/06/2020
552;11103524;Conceder;Distrito de Ciudad Lineal;CALLE SAN LAMBERTO   15;BAJA;1;500/2020/03717;VIVIENDAS DE USO TURÍSTICO;30/06/2020
553;11000909;Conceder;Distrito de Centro;CALLE MEDIODIA GRANDE   20;BAJA;1;500/2020/03916;VIVIENDAS DE USO TURÍSTICO;08/07/2020
554;11001523;Conceder;Distrito de Centro;CALLE  DUQUE DE RIVAS 8;PRIMERA;2;500/2020/04352;VIVIENDAS DE USO TURÍSTICO;16/07/2020
555;11096760;Conceder;Distrito de Puente de Vallecas;CALLE SAN CLAUDIO 44;BAJA;1;500/2020/04503;VIVIENDAS DE USO TURÍSTICO;17/08/2020
556;11096760;Conceder;Distrito de Puente de Vallecas;CALLE SAN CLAUDIO 44;BAJA;1;500/2020/04504;VIVIENDAS DE USO TURÍSTICO;17/08/2020
557;31009049;Conceder;Distrito de Salamanca;CALLE ROBERTO DOMINGO  1 A;BAJA Y SOTANO;1;500/2020/04537;VIVIENDAS DE USO TURÍSTICO;18/05/2021
558;11060353;Conceder;Distrito de Latina;CALLE DOÑA MENCIA   13;BAJA;1;500/2020/05081;VIVIENDAS DE USO TURÍSTICO;27/08/2020
559;11060352;Conceder;Distrito de Latina;CALLE DOÑA MENCIA   11;BAJA;1;500/2020/05083;VIVIENDAS DE USO TURÍSTICO;26/08/2020
560;11052109;Conceder;Distrito de Moncloa-Aravaca;PASEO FLORIDA 45;BAJA;2;500/2020/05168;VIVIENDAS DE USO TURÍSTICO;11/09/2020
561;20012874;Conceder;Distrito de Tetuan;CALLE BERRUGUETE   59;BAJA;10;500/2020/05407;VIVIENDAS DE USO TURÍSTICO;20/11/2020
562;11000095;Conceder;Distrito de Centro;CALLE FOMENTO   36;BAJA;1;500/2020/05780;VIVIENDAS DE USO TURÍSTICO;02/10/2020
563;31010684;Conceder;Distrito de Tetuan;CALLE TORRIJOS   2;PRIMERA;1;500/2020/05997;VIVIENDAS DE USO TURÍSTICO;12/01/2021
564;11018293;Conceder;Distrito de Salamanca;CALLE  AZCONA   46;BAJA;1;500/2020/06111;VIVIENDAS DE USO TURÍSTICO;27/10/2020
565;11018293;Conceder;Distrito de Salamanca;CALLE  AZCONA   46;BAJA;1;500/2020/06137;VIVIENDAS DE USO TURÍSTICO;27/08/2020
566;11100034;Conceder;Distrito de Puente de Vallecas;CALLE  PICO ALMANZOR   12;BAJA;1;500/2020/06139;VIVIENDAS DE USO TURÍSTICO;15/10/2020
567;11080745;Conceder;Distrito de Usera;PLAZA PROMESAS  6;BAJA;1;500/2020/06533;VIVIENDAS DE USO TURÍSTICO;27/10/2020
568;11103524;Conceder;Distrito de Ciudad Lineal;CALLE SAN LAMBERTO   15;SOTANO;1;500/2020/06556;VIVIENDAS DE USO TURÍSTICO;04/11/2020
569;11037504;Conceder;Distrito de Tetuan;CALLE PEDRO TEZANO   26;BAJA;3;500/2020/06665;VIVIENDAS DE USO TURÍSTICO;04/04/2022
570;11002698;Conceder;Distrito de Centro;CALLE  OLIVAR  28;BAJA;1;500/2020/06668;VIVIENDAS DE USO TURÍSTICO;22/01/2021
571;11069473;Conceder;Distrito de Carabanchel;CALLE EDUARDO MARQUINA  28;BAJA;1;500/2020/06741;VIVIENDAS DE USO TURÍSTICO;06/11/2020
572;11110737;Conceder;Distrito de Ciudad Lineal;CALLE VIRGEN DE LA FUENSANTA   1;BAJA;1;500/2020/06930;VIVIENDAS DE USO TURÍSTICO;20/11/2020
573;11111776;Conceder;Distrito de Ciudad Lineal;PLAZA  CIUDAD DE SALTA   5;BAJA;2;500/2020/06961;VIVIENDAS DE USO TURÍSTICO;19/01/2021
574;11017658;Conceder;Distrito de Salamanca;CALLE NUESTRA SEÑORA DE GUADALUPE   6;BAJA;2;500/2020/07280;VIVIENDAS DE USO TURÍSTICO;02/12/2020
575;11118495;Conceder;Disrito de Hortaleza;CALLE BELIANES 14;BAJA;4;500/2020/07318;VIVIENDAS DE USO TURÍSTICO;09/06/2021
576;11007125;Conceder;Distrito de Centro;CALLE  LUNA  11;BAJA Y SOTANO;1;500/2020/07395;VIVIENDAS DE USO TURÍSTICO;16/12/2020
577;11083796;Conceder;Distrito de Usera;CALLE MONEDEROS 15;BAJA;3;500/2020/07412;VIVIENDAS DE USO TURÍSTICO;22/12/2020
578;20086935;Conceder;Distrito de Latina;CALLE  GOTARRENDURA  10;BAJA;1;500/2020/07521;VIVIENDAS DE USO TURÍSTICO;14/12/2020
579;11048294;Conceder;Distrito de Fuencarral-El Pardo;CALLE MATARO  28;BAJA;1;500/2020/07596;VIVIENDAS DE USO TURÍSTICO;22/12/2020
580;31035460;Conceder;Distrito de Fuencarral-El Pardo;CALLE MATARO  25;BAJA;1;500/2020/07603;VIVIENDAS DE USO TURÍSTICO;22/12/2020
581;11038928;Conceder;Distrito de Chamberí;CALLE DONOSO CORTES    73;BAJA;1;500/2020/07849;VIVIENDAS DE USO TURÍSTICO;18/01/2021
582;11060592;Conceder;Distrito de Latina;CALLE ANTILLON  12;BAJA;1;500/2020/07887;VIVIENDAS DE USO TURÍSTICO;13/01/2021
583;11019334;Conceder;Distrito de Salamanca;CALLE  DON RAMON DE LA CRUZ  89;BAJA;1;500/2021/00007;VIVIENDAS DE USO TURÍSTICO;19/01/2021
584;11001173;Conceder;Distrito de Centro;CALLE CALATRAVA   20;BAJA;1;500/2021/00045;VIVIENDAS DE USO TURÍSTICO;23/03/2021
585;11123578;Conceder;Distrito de Villaverde;CALLE GILENA   16;BAJA;1;500/2021/00046;VIVIENDAS DE USO TURÍSTICO;28/01/2021
586;31035460;Conceder;Distrito de Fuencarral-El Pardo;CALLE MATARO  25;BAJA;1;500/2021/00085;VIVIENDAS DE USO TURÍSTICO;01/02/2021
587;11037410;Conceder;Distrito de Tetuan;PASEO DIRECCION   46;PRIMERA;1;500/2021/00106;VIVIENDAS DE USO TURÍSTICO;23/03/2021
588;11101392;Conceder;Distrito de Moratalaz;CALLE ANTONIO CUMELLA  7;BAJA;5;500/2021/00321;VIVIENDAS DE USO TURÍSTICO;04/02/2021
589;11110988;Conceder;Distrito de Ciudad Lineal;CALLE TORRELAGUNA  16;BAJA;1;500/2021/00433;VIVIENDAS DE USO TURÍSTICO;08/02/2021
590;11061856;Conceder;Distrito de Latina;AVENIDA PORTUGAL  141;BAJA;2;500/2021/00661;VIVIENDAS DE USO TURÍSTICO;08/03/2021
591;11013136;Conceder;Distrito de Retiro;CALLE JULIO REY PASTOR 2;BAJA;1;500/2021/00881;VIVIENDAS DE USO TURÍSTICO;03/03/2021
592;11052176;Conceder;Distrito de Moncloa-Aravaca;PASEO REY  18;BAJA Y SOTANO;1;500/2021/00886;VIVIENDAS DE USO TURÍSTICO;26/02/2021
593;11017658;Conceder;Distrito de Salamanca;CALLE NUESTRA SEÑORA DE GUADALUPE  6;BAJA;2;500/2021/00900;VIVIENDAS DE USO TURÍSTICO;16/04/2021
594;11107015;Conceder;Distrito de Ciudad Lineal;CALLE GANDHI 5;baja;4;500/2021/01013;VIVIENDAS DE USO TURÍSTICO;03/03/2021
595;11005482;Conceder;Distrito de Centro;CALLE DIVINO PASTOR 7;BAJA;1;500/2021/01151;VIVIENDAS DE USO TURÍSTICO;17/03/2021
596;11052910;Conceder;Distrito de Moncloa-Aravaca;CALLE TUTOR  59;BAJA;1;500/2021/01404;VIVIENDAS DE USO TURÍSTICO;24/04/2021
597;11052910;Conceder;Distrito de Moncloa-Aravaca;CALLE TUTOR  59;BAJA;1;500/2021/01406;VIVIENDAS DE USO TURÍSTICO;12/05/2021
598;20118225;Conceder;Distrito de Arganzuela;CALLE PUERTO DE LA CRUZ VERDE  11;BAJA;3;500/2021/01469;VIVIENDAS DE USO TURÍSTICO;05/04/2021
599;11002631;Conceder;Distrito de Centro;CALLE  TORRECILLA DEL LEAL  5;BAJA;2;500/2021/01532;VIVIENDAS DE USO TURÍSTICO;23/03/2021
600;11107663;Conceder;Distrito de Ciudad Lineal;CALLE EMILIO FERRARI  27;BAJA;1;500/2021/01703;VIVIENDAS DE USO TURÍSTICO;05/04/2021
601;11048294;Conceder;Distrito de Fuencarral-El Pardo;CALLE  MATARO  28;BAJA;1;500/2021/01829;VIVIENDAS DE USO TURÍSTICO;23/04/2021
602;11048294;Conceder;Distrito de Fuencarral-El Pardo;CALLE MATARO  28;BAJA;1;500/2021/01847;VIVIENDAS DE USO TURÍSTICO;08/06/2021
603;11048294;Conceder;Distrito de Fuencarral-El Pardo;CALLE  MATARO  28;BAJA;1;500/2021/01855;VIVIENDAS DE USO TURÍSTICO;08/06/2021
604;11018636;Conceder;Distrito de Salamanca;CALLE JOSE PICON  29;BAJA;1;500/2021/01883;VIVIENDAS DE USO TURÍSTICO;07/04/2021
605;11100515;Conceder;Distrito de Puente de Vallecas;CALLE MENDIVIL  16;BAJA;1;500/2021/01948;VIVIENDAS DE USO TURÍSTICO;08/06/2021
606;20169494;Conceder;Distrito de Tetuan;CALLE  MIOSOTIS  13;1 BAJA, 2 PRIMERA Y 2 SEGUNDA;5;500/2021/02126;VIVIENDAS DE USO TURÍSTICO;30/07/2021
607;11028590;Conceder;Distrito de Tetuan;CALLE JERONIMA LLORENTE  19;BAJA;2;500/2021/02351;VIVIENDAS DE USO TURÍSTICO;12/05/2021
608;11047070;Conceder;Distrito de Fuencarral-El Pardo;AVENIDA  LLANO CASTELLANO  7;BAJA;3;500/2021/02568;VIVIENDAS DE USO TURÍSTICO;13/05/2021
609;11095316;Conceder;Distrito de Puente de Vallecas;CALLE  UCEDA  7;BAJA;2;500/2021/02824;VIVIENDAS DE USO TURÍSTICO;01/09/2021
610;11023863;Conceder;Distrito de Chamartín;CALLE  GENERAL ZABALA  19;PRIMERA;2;500/2021/02977;VIVIENDAS DE USO TURÍSTICO;06/07/2021
611;11038624;Conceder;Distrito de Chamberí;CALLE  RODRIGUEZ SAN PEDRO  62;BAJA Y SOTANO;1;500/2021/03096;VIVIENDAS DE USO TURÍSTICO;24/05/2021
612;11038590;Conceder;Distrito de Chamberí;CALLE  ANDRES MELLADO  31;SOTANO;2;500/2021/03158;VIVIENDAS DE USO TURÍSTICO;06/07/2021
613;11000733;Conceder;Distrito de Centro;CALLE CAVA ALTA  21;BAJA Y SOTANO;1;500/2021/03174;VIVIENDAS DE USO TURÍSTICO;08/06/2021
614;11004927;Conceder;Distrito de Centro;CALLE SANTA BRIGIDA  17;BAJA Y SOTANO;1;500/2021/03257;VIVIENDAS DE USO TURÍSTICO;31/05/2021
615;11038590;Conceder;Distrito de Chamberí;CALLE  ANDRES MELLADO  31;SOTANO;2;500/2021/03409;VIVIENDAS DE USO TURÍSTICO;08/06/2021
616;11002397;Conceder;Distrito de Centro;CALLE AMPARO  11;BAJA;1;500/2021/03498;VIVIENDAS DE USO TURÍSTICO;06/07/2021
617;11001578;Conceder;Distrito de Centro;PLAZA TIRSO DE MOLINA  20;BAJA;1;500/2021/03607;;14/07/2021
618;11028843;Conceder;Distrito de Tetuan;CALLE FRANCISCO SALAS 4;BAJA;2;500/2021/03652;VIVIENDAS DE USO TURÍSTICO;14/07/2022
619;11001002;Conceder;Distrito de Centro;PLAZA  MORERIA  1;BAJA Y SOTANO;1;500/2021/03747;VIVIENDAS DE USO TURÍSTICO;01/09/2021
620;11002024;Conceder;Distrito de Centro;CALLE RODAS 18;BAJA;1;500/2021/03886;VIVIENDAS DE USO TURÍSTICO;26/07/2021
621;11060203;Conceder;Distrito de Latina;CALLE  SAN  CRISPIN  5;BAJA;1;500/2021/03889;VIVIENDAS DE USO TURÍSTICO;01/09/2021
622;11046454;Conceder;Distrito de Fuencarral-El Pardo;CALLE  PONFERRADA  35;BAJA;1;500/2021/03900;VIVIENDAS DE USO TURÍSTICO;01/09/2021
623;11047572;Conceder;Distrito de Fuencarral-El Pardo;CALLE ISLA DE JAVA  78;BAJA;1;500/2021/03989;VIVIENDAS DE USO TURÍSTICO;14/07/2021
624;11047572;Conceder;Distrito de Fuencarral-El Pardo;CALLE ISLA DE JAVA  78;BAJA;1;500/2021/03991;VIVIENDAS DE USO TURÍSTICO;06/07/2021
625;11033852;Conceder;Distrito de Tetuan;CALLE CAPITAN BLANCO ARGIBAY  5;1 BAJA, 2 PRIMERA;3;500/2021/04043;VIVIENDAS DE USO TURÍSTICO;08/04/2022
626;11002115;Conceder;Distrito de Centro;CALLE  CABESTREROS  11;BAJA;2;500/2021/04079;VIVIENDAS DE USO TURÍSTICO;22/11/2021
627;11001143;Conceder;Distrito de Centro;RONDA SEGOVIA  41;BAJA;1;500/2021/04240;VIVIENDAS DE USO TURÍSTICO;20/08/2021
628;11052067;Conceder;Distrito de Moncloa-Aravaca;AVENIDA VALLADOLID  3;BAJA;1;500/2021/04241;VIVIENDAS DE USO TURÍSTICO;30/07/2021
629;20169494;Conceder;Distrito de Tetuan;CALLE  MIOSOTIS  13;1 BAJA, 2 PRIMERA;3;500/2021/04268;VIVIENDAS DE USO TURÍSTICO;14/07/2021
630;11008925;Conceder;Distrito de Arganzuela;CALLE ALDEA DEL FRESNO  25;BAJA;3;500/2021/04325;VIVIENDAS DE USO TURÍSTICO;14/07/2021
631;11006667;Conceder;Distrito de Centro;CALLE AMANIEL  9;BAJA;1;500/2021/04629;VIVIENDAS DE USO TURÍSTICO;22/07/2021
632;11002455;Conceder;Distrito de Centro;CALLE JESUS Y MARÍA  25;BAJA;1;500/2021/04741;VIVIENDAS DE USO TURÍSTICO;22/07/2021
633;11047622;Conceder;Distrito de Fuencarral-El Pardo;CALLE  LABAJOS  4;PRIMERA;2;500/2021/04971;VIVIENDAS DE USO TURÍSTICO;01/09/2021
634;11039917;Conceder;Distrito de Chamberí;CALLE PALAFOX  9;BAJA;1;500/2021/05159;VIVIENDAS DE USO TURÍSTICO;05/08/2021
635;11039917;Conceder;Distrito de Chamberí;CALLE PALAFOX 9;BAJA;1;500/2021/05161;VIVIENDAS DE USO TURÍSTICO;30/07/2021
636;11086362;Conceder;Distrito de Usera;CALLE GONZALEZ ARIAS 3;PRIMERA;1;500/2021/05218;VIVIENDAS DE USO TURÍSTICO;10/08/2021
637;11029849;Conceder;Distrito de Tetuan;CALLE  TERUEL  25;BAJA;1;500/2021/05274;;05/08/2021
638;11018319;Conceder;Distrito de Salamanca;CALLE CARTAGENA  47;BAJA Y SOTANO;1;500/2021/05314;VIVIENDAS DE USO TURÍSTICO;05/08/2021
639;11029534;Conceder;Distrito de Tetuan;CALLE  PALENCIA 39;BAJA;1;500/2021/05671;VIVIENDAS DE USO TURÍSTICO;20/08/2021
640;11018806;Conceder;Distrito de Salamanca;CALLE COSLADA  8;BAJA;2;500/2021/05918;VIVIENDAS DE USO TURÍSTICO;01/09/2021
641;11002323;Conceder;Distrito de Centro;CALLE AMPARO 86;BAJA Y SOTANO;2;500/2021/06027 500/2022/00023;VIVIENDAS DE USO TURÍSTICO;14/01/2022
642;11012355;Conceder;Distrito de Retiro;CALLE NARVAEZ  71;BAJA;2;500/2021/06172;VIVIENDAS DE USO TURÍSTICO;04/10/2021
643;11006818;Conceder;Distrito de Centro;CALLE  MANZANA  7;BAJA Y SOTANO;1;500/2021/06339;VIVIENDAS DE USO TURÍSTICO;10/09/2021
644;11092835;Conceder;Distrito de Puente de Vallecas;CALLE SIERRA DE ALCUBIERRE  7;1 PRIMERA, 1 SEGUNDA , 1 TERCERA;3;500/2021/06746;VIVIENDAS DE USO TURÍSTICO;28/09/2021
645;11018589;Conceder;Distrito de Salamanca;CALLE ANDRES TAMAYO  3;BAJA;1;500/2021/06922;VIVIENDAS DE USO TURÍSTICO;06/10/2021
646;11060045;Conceder;Distrito de Latina;CALLE GENISTA  7;BAJA;2;500/2021/06977;VIVIENDAS DE USO TURÍSTICO;08/10/2021
647;11061018;Conceder;Distrito de Latina;CALLE  BARRAFON  21;BAJA;1;500/2021/07033;VIVIENDAS DE USO TURÍSTICO;25/10/2021
648;11061018;Conceder;Distrito de Latina;CALLE  BARRAFON  21;BAJA;1;500/2021/07163;VIVIENDAS DE USO TURÍSTICO;25/10/2021
649;11016408;Conceder;Distrito de Salamanca;CALLE  LOS PEÑASCALES  7;SOTANO;1;500/2021/07399;VIVIENDAS DE USO TURÍSTICO;02/11/2021
650;11092835;Conceder;Distrito de Puente de Vallecas;CALLE  SIERRA DE ALCUBIERRE  7;1 PRIMERA, 1 SEGUNDA , 1 TERCERA;3;500/2021/07414;VIVIENDAS DE USO TURÍSTICO;02/11/2021
651;11036815;Conceder;Distrito de Tetuan;CALLE  ALGODONALES  73;BAJA;1;500/2021/07798;VIVIENDAS DE USO TURÍSTICO;22/11/2021
652;20150539;Conceder;Distrito de Barajas;AVENIDA GENERAL 13;EDIF EXCLUSIVO;7;500/2021/07886;VIVIENDAS DE USO TURÍSTICO;25/11/2021
653;11030403;Conceder;Distrito de Tetuan;CALLE HERMANO GARATE  9;BAJA;1;500/2021/07888;VIVIENDAS DE USO TURÍSTICO;25/11/2021
654;11018701;Conceder;Distrito de Salamanca;CALLE  COSLADA  26;3  BAJA , 2 BAJA Y SOTANO;5;500/2021/07963;VIVIENDAS DE USO TURÍSTICO;28/02/2022
655;20153456;Conceder;Distrito de Barajas;CALLE ALCAÑIZ  6;BAJA;1;500/2021/08116;;25/11/2021
656;11006342;Conceder;Distrito de Centro;CALLE  SAN VICENTE FERRER  76;BAJA;1;500/2021/08117;VIVIENDAS DE USO TURÍSTICO;26/11/2021
657;20148260;Conceder;Distrito de Tetuan;CALLE  ALVAREZ  2;BAJA;2;500/2021/08140;VIVIENDAS DE USO TURÍSTICO;25/11/2021
658;11008476;Conceder;Distrito de Arganzuela;CALLE  LAUREL  23;BAJA;3;500/2021/08205;VIVIENDAS DE USO TURÍSTICO;17/12/2021
659;11092318;Conceder;Distrito de Puente de Vallecas;CALLE  EDUARDO SANZ  19;1 BAJA, 1 PRIMERA, 1 SEGUNDA;3;500/2021/08368;VIVIENDAS DE USO TURÍSTICO;10/12/2021
660;11001522;Conceder;Distrito de Centro;CALLE DUQUE DE RIVAS  6;BAJA;1;500/2021/08967;VIVIENDAS DE USO TURÍSTICO;10/05/2022
661;20183906;Conceder;Distrito de San Blas-Canillejas;CALLE SUIZA  30;BAJA Y PRIMERA;1;500/2021/09028;VIVIENDAS DE USO TURÍSTICO;20/05/2022
662;11022537;Conceder;Distrito de Chamartín;PASAJE PRADILLO  5;BAJA;1;500/2021/09070;VIVIENDAS DE USO TURÍSTICO;19/04/2022
