OBJETID;COD_NDP;DECRETO_LU;DISTRITO;DIRECCION;PLANTA;UNIDADES_VUT;EXPEDIENTE_LU;TIPO;RESOLUCION_LU
365;11069002;Conceder;Distrito de Carabanchel;CALLE PEDRO YAGÜE 3;BAJA;1;350/2023/29784;;16/11/2023
366;11003105;Conceder;Distrito de Centro;CALLE DOCTOR FOURQUET 17;BAJA;1;350/2023/29790;VIVIENDAS DE USO TURÍSTICO;31/10/2023
367;20159277;Conceder;Distrito de San Blas - Canillejas;CALLE TROYA 4;BAJA;1;350/2023/29898;VIVIENDAS DE USO TURÍSTICO;16/11/2023
368;11039142;Conceder;Distrito de Chamberí;CALLE ANDRES MELLADO 84;BAJA;1;350/2023/29923;VIVIENDAS DE USO TURÍSTICO;11/10/2023
369;11048285;Conceder;Distrito de Fuencarral-El Pardo;CALLE MATARO 10;BAJA;1;350/2023/29994;VIVIENDAS DE USO TURÍSTICO;20/10/2023
370;11033801;Conceder;Distrito de Tetuan;CALLE PINOS ALTA 15;BAJA;1;350/2023/30006;VIVIENDAS DE USO TURÍSTICO;16/11/2023
371;11131227;Conceder;Distrito de Villa de Vallecas;CALLE SIERRA DE SABIÑAR 2;BAJA;1;350/2023/30086;VIVIENDAS DE USO TURÍSTICO;20/10/2023
372;11100905;Conceder;Distrito de Puente de Vallecas;CALLE MONTE URGULL 28;BAJA;1;350/2023/30221;VIVIENDAS DE USO TURÍSTICO;26/10/2023
373;11002444;Conceder;Distrito de Centro;TRAVESÍA COMADRE 6;BAJA;1;350/2023/30410;VIVIENDAS DE USO TURÍSTICO;31/10/2023
374;11018800;Conceder;Distrito de Salamanca;CALLE ARDEMANS 62;BAJA;7;350/2023/30441;VIVIENDAS DE USO TURÍSTICO;26/10/2023
375;11000974;Conceder;Distrito de Centro;CALLE DON PEDRO 11;BAJA;1;350/2023/30486;VIVIENDAS DE USO TURÍSTICO;31/10/2023
376;11083644;Conceder;Distrito de Usera;CALLE ANTONIO LOPEZ 151;BAJA;1;350/2023/30828;VIVIENDAS DE USO TURÍSTICO;07/11/2023
377;11025210;Conceder;Distrito de Chamartín;CALLE CHILE 17;BAJA;1;350/2023/30839;VIVIENDAS DE USO TURÍSTICO;07/11/2023
378;11039912;Conceder;Distrito de Chamberí;CALLE HARTZENBUSCH 15;BAJA;1;350/2023/30964;VIVIENDAS DE USO TURÍSTICO;10/01/2024
379;11127131;Conceder;Distrito de Villaverde;CALLE CERRO DE LOS ANGELES 2;BAJA;1;350/2023/31064;VIVIENDAS DE USO TURÍSTICO;31/10/2023
380;11008723;Conceder;Distrito de Arganzuela;CALLE FERNANDO POO 5;BAJA;1;350/2023/31184;VIVIENDAS DE USO TURÍSTICO;07/11/2023
381;11003351;Conceder;Distrito de Centro;CALLE GOBERNADOR 18;BAJA;1;350/2023/31267;VIVIENDAS DE USO TURÍSTICO;12/12/2023
382;31042849;Conceder;Distrito de Moncloa-Aravaca;CALLE ALMANSA 82;BAJA;1;350/2023/31290;VIVIENDAS DE USO TURÍSTICO;02/11/2023
383;11103408;Conceder;Distrito de Ciudad Lineal;CALLE CYESA 3;BAJA;1;350/2023/31323;VIVIENDAS DE USO TURÍSTICO;03/11/2023
384;11010938;Conceder;Distrito de Retiro;AVENIDA CIUDAD DE BARCELONA 51;BAJA;1;350/2023/31366;;16/11/2023
385;11042289;Conceder;Distrito de Chamberí;CALLE PONZANO 91;BAJA;1;350/2023/31382;;13/11/2023
386;11077968;Conceder;Distrito de Carabanchel;CALLE AGUILAR DEL RIO 2;BAJA;1;350/2023/31403;VIVIENDAS DE USO TURÍSTICO;02/11/2023
387;11004235;Conceder;Distrito de Centro;CALLE PRIM 4;BAJA;1;350/2023/31409;VIVIENDAS DE USO TURÍSTICO;07/11/2023
388;11077184;Conceder;Distrito de Carabanchel;CALLE ANTONIA RODRIGUEZ SACRISTAN 41;BAJA;1;350/2023/31481;VIVIENDAS DE USO TURÍSTICO;13/11/2023
389;11054969;Conceder;Distrito de Moncloa-Aravaca;CALLE AGUILAR DE CAMPOO 1;BAJA;1;350/2023/31545;VIVIENDAS DE USO TURÍSTICO;13/11/2023
390;11131598;Conceder;Distrito de Villa de Vallecas;CALLE CASTRILLO DE AZA 7;BAJA;2;350/2023/31624;VIVIENDAS DE USO TURÍSTICO;25/01/2024
391;11016808;Conceder;Distrito de Salamanca;CALLE RUFINO BLANCO 16;BAJA;1;350/2023/31750;;21/03/2024
